student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,science_score,english_score,overall_score,final_grade,race_ethnicity,lunch,test_preparation_course,math_score,reading_score,writing_score
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,55.4,57.0,53.1,e,group B,standard,none,72,72,74
2,18,female,public,graduate,3.7,87.8,yes,>60 min,no,textbook,68.8,64.8,61.3,d,group C,standard,completed,69,90,88
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,95.0,79.2,89.6,b,group B,standard,none,90,95,93
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,27.5,54.7,41.6,e,group A,free/reduced,none,47,57,44
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,32.7,30.0,25.4,f,group C,standard,none,76,78,75
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,78.3,63.9,63.5,d,group B,standard,none,71,83,78
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,29.4,39.2,39.1,f,group B,standard,completed,88,95,92
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,60.1,53.4,69.6,d,group B,free/reduced,none,40,43,39
9,15,other,private,high school,3.2,89.6,yes,15-30 min,yes,mixed,59.5,38.3,55.2,d,group D,free/reduced,completed,64,64,67
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,70.4,81.3,69.6,d,group B,free/reduced,none,38,60,50
11,17,female,private,graduate,6.1,90.5,yes,15-30 min,no,notes,82.7,70.8,77.5,c,group C,standard,none,58,54,52
12,19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,notes,54.7,58.0,65.0,d,group D,standard,none,40,52,43
13,18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,80.5,56.2,73.6,c,group B,standard,none,65,81,73
14,18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,textbook,26.8,50.0,42.5,e,group A,standard,completed,78,72,70
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,66.1,70.3,69.3,d,group A,standard,none,50,53,58
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,76.9,76.1,73.7,c,group C,standard,none,69,75,78
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,46.3,57.1,53.5,e,group C,standard,none,88,89,86
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,50.5,54.1,49.8,e,group B,free/reduced,none,18,32,28
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,69.9,58.3,59.2,d,group C,free/reduced,completed,46,42,46
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,53.9,60.4,61.9,d,group C,free/reduced,none,54,58,61
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,77.6,77.6,81.3,c,group D,standard,none,66,69,63
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,31.9,39.3,55.0,d,group B,free/reduced,completed,65,75,70
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,35.2,19.9,33.5,f,group D,standard,none,44,54,53
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,100.0,100.0,94.6,b,group C,standard,none,69,73,73
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,31.2,57.3,41.4,e,group D,free/reduced,completed,74,71,80
26,17,male,private,diploma,8.0,77.4,yes,>60 min,no,coaching,87.7,69.3,92.5,b,group A,free/reduced,none,73,74,72
27,16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,textbook,92.8,86.9,82.5,c,group B,standard,none,69,54,55
28,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,89.9,63.4,75.4,c,group C,standard,none,67,69,75
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,44.5,68.1,45.1,e,group C,standard,none,70,70,65
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,73.5,71.7,82.6,c,group D,standard,none,62,70,75
31,16,other,private,phd,7.3,85.7,yes,30-60 min,yes,group study,86.0,95.4,90.4,b,group D,standard,none,69,74,74
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,82.5,77.4,77.1,c,group B,standard,none,63,65,61
33,14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,notes,72.1,84.8,78.8,c,group E,free/reduced,none,56,72,65
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,57.4,72.9,62.2,d,group D,standard,none,40,42,38
35,19,female,public,high school,1.1,88.2,yes,30-60 min,no,coaching,39.6,36.5,46.9,e,group E,standard,none,97,87,82
36,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,99.8,100.0,90.4,b,group E,standard,completed,81,81,79
37,19,other,public,diploma,0.6,82.1,yes,>60 min,no,coaching,43.5,35.0,42.0,e,group D,standard,none,74,81,83
38,18,female,public,high school,4.2,91.3,yes,15-30 min,no,notes,73.5,61.7,79.0,c,group D,free/reduced,none,50,64,59
39,15,female,private,phd,3.3,88.3,yes,15-30 min,yes,notes,67.4,61.7,66.5,d,group D,free/reduced,completed,75,90,88
40,17,male,public,diploma,6.3,57.4,yes,<15 min,yes,notes,70.0,63.8,65.4,d,group B,free/reduced,none,57,56,57
41,14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,textbook,72.5,100.0,88.7,b,group C,free/reduced,none,55,61,54
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,58.2,60.1,53.9,e,group C,standard,none,58,73,68
43,18,female,public,phd,1.1,53.3,yes,15-30 min,no,group study,36.4,29.0,23.7,f,group B,standard,none,53,58,65
44,16,female,private,phd,2.3,91.1,yes,30-60 min,no,mixed,56.2,56.4,63.6,d,group B,free/reduced,completed,59,65,66
45,14,male,private,no formal,1.2,59.1,yes,<15 min,no,group study,35.0,54.0,42.3,e,group E,free/reduced,none,50,56,54
46,19,female,private,graduate,7.8,72.4,yes,30-60 min,no,mixed,94.5,88.0,83.5,c,group B,standard,none,65,54,57
47,16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,29.9,53.9,48.7,e,group A,standard,completed,55,65,62
48,19,male,private,high school,7.8,60.4,yes,>60 min,yes,online videos,100.0,100.0,96.3,a,group C,standard,none,66,71,76
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,26.9,32.6,37.5,f,group D,free/reduced,completed,57,74,76
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,91.1,100.0,95.9,a,group C,standard,completed,82,84,82
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,66.7,82.8,76.2,c,group E,standard,none,53,55,48
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,78.6,99.8,90.4,b,group E,free/reduced,completed,77,69,68
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,80.5,79.9,77.0,c,group C,standard,none,53,44,42
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,93.3,85.2,88.4,b,group D,standard,none,88,78,75
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,85.6,100.0,92.5,b,group C,free/reduced,completed,71,84,87
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,25.2,39.2,39.5,f,group C,free/reduced,none,33,41,43
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,81.5,79.5,86.2,b,group E,standard,completed,82,85,86
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,81.5,67.3,76.9,c,group D,standard,none,52,55,49
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,40.9,59.9,41.1,e,group D,standard,completed,58,59,58
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,48.7,53.4,46.2,e,group C,free/reduced,none,0,17,10
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,61.7,53.0,65.1,d,group E,free/reduced,completed,79,74,72
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,63.1,83.9,85.8,b,group A,free/reduced,none,39,39,34
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,61.2,76.7,77.4,c,group A,free/reduced,none,62,61,55
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,65.5,47.6,54.9,e,group C,standard,none,69,80,71
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,83.3,88.2,80.9,c,group D,standard,none,59,58,59
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,28.5,38.0,39.2,f,group B,standard,none,67,64,61
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,45.9,47.3,46.9,e,group D,free/reduced,none,45,37,37
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,100.0,71.8,82.4,c,group C,standard,none,60,72,74
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,34.8,35.3,40.8,e,group B,free/reduced,none,61,58,56
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,57.2,47.2,57.1,d,group C,standard,none,39,64,57
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,30.9,51.4,24.6,f,group D,free/reduced,completed,58,63,73
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,43.6,23.8,50.0,e,group D,standard,completed,63,55,63
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,62.8,30.7,37.1,f,group A,free/reduced,none,41,51,48
