student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,science_score,english_score,overall_score,final_grade,race/ethnicity,lunch,test preparation course,math score,reading score,writing score
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,73.5,71.7,82.6,c,group D,standard,none,62,70,75
536,14,female,public,phd,1.1,87.3,yes,<15 min,no,mixed,49.8,44.7,42.8,e,group C,free/reduced,completed,66,83,83
696,15,male,public,post graduate,1.9,90.5,yes,>60 min,yes,textbook,40.6,69.9,53.3,e,group D,free/reduced,none,79,89,86
558,19,male,private,high school,4.1,73.5,yes,30-60 min,no,online videos,63.9,64.0,63.8,d,group C,free/reduced,none,61,67,66
837,18,other,public,phd,4.7,73.6,yes,>60 min,no,mixed,59.9,75.6,73.0,c,group E,standard,none,73,64,57
597,17,male,private,no formal,4.2,52.0,yes,<15 min,no,online videos,69.4,51.6,51.6,e,group B,free/reduced,none,30,24,15
166,18,male,public,phd,2.9,70.4,yes,>60 min,no,group study,59.9,70.7,58.3,d,group C,standard,completed,96,100,100
919,15,male,private,diploma,7.7,76.3,no,<15 min,yes,online videos,93.2,100.0,93.8,b,group C,standard,completed,57,77,80
496,16,female,public,graduate,4.0,66.1,no,>60 min,no,online videos,52.4,52.4,50.7,e,group D,standard,completed,68,64,66
825,17,other,public,high school,1.2,99.1,yes,>60 min,yes,notes,69.9,48.7,53.1,e,group C,free/reduced,none,48,58,52
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,28.5,38.0,39.2,f,group B,standard,none,67,64,61
142,15,female,public,diploma,7.6,82.3,yes,<15 min,yes,group study,100.0,92.8,89.7,b,group C,free/reduced,none,59,62,64
926,19,other,private,diploma,2.6,80.8,yes,>60 min,no,coaching,67.2,58.5,56.9,d,group E,standard,completed,74,64,60
828,19,other,private,phd,7.0,54.8,yes,>60 min,yes,group study,72.1,71.2,69.7,d,group C,standard,none,65,69,76
656,17,male,public,no formal,6.8,83.0,yes,15-30 min,yes,coaching,78.3,86.4,81.3,c,group B,standard,none,62,67,67
332,16,female,public,phd,1.1,81.5,no,30-60 min,yes,mixed,43.0,56.8,45.1,e,group C,standard,none,47,37,35
665,17,female,public,no formal,3.5,77.5,yes,30-60 min,no,mixed,64.1,45.1,53.9,e,group D,standard,none,80,63,63
250,14,female,public,high school,4.5,64.4,yes,<15 min,no,notes,68.1,54.1,59.2,d,group C,standard,none,68,60,53
908,15,male,public,phd,2.4,70.7,yes,30-60 min,yes,coaching,58.8,55.9,55.1,d,group D,standard,completed,79,84,91
