iter	RMSE
0	14.58824073
1	14.22538979
2	13.85848312
3	13.49816145
4	13.1569169
5	12.83616155
6	12.52956292
7	12.2251756
8	11.93500316
9	11.66956736
10	11.43985087
11	11.21213732
12	11.01658105
13	10.82445847
14	10.63193294
15	10.46158791
16	10.30435709
17	10.15117127
18	10.02240097
19	9.891696095
20	9.756993062
21	9.642115931
22	9.527073447
23	9.419185398
24	9.298074756
25	9.198632766
26	9.106415016
27	9.014560521
28	8.935979696
29	8.856695299
30	8.779038567
31	8.708990188
32	8.639381604
33	8.582551988
34	8.521638747
35	8.46627468
36	8.427678578
37	8.381793131
38	8.335351688
39	8.288929864
40	8.24975241
41	8.21026452
42	8.174698114
43	8.145719029
44	8.111169972
45	8.081155217
46	8.054856334
47	8.031638801
48	8.008095142
49	7.982573462
50	7.958565569
51	7.938095183
52	7.913736679
53	7.896860771
54	7.877261275
55	7.859765775
56	7.841134864
57	7.822545465
58	7.806898635
59	7.790179607
60	7.775659546
61	7.763263769
62	7.750686717
63	7.737231467
64	7.723739029
65	7.714217638
66	7.705564789
67	7.693140068
68	7.681134499
69	7.669796934
70	7.6590766
71	7.649204795
72	7.639356449
73	7.630203293
74	7.620748886
75	7.615677498
76	7.603310069
77	7.597790409
78	7.586758927
79	7.576253078
80	7.567213536
81	7.558404832
82	7.555948574
83	7.55042557
84	7.539453605
85	7.532131296
86	7.527235231
87	7.518083606
88	7.51573061
89	7.508931128
90	7.499566721
91	7.491827217
92	7.484699312
93	7.468095498
94	7.462719134
95	7.457606815
96	7.447017948
97	7.441635277
98	7.432795431
99	7.429179585
