iter	Passed	Remaining
0	1	100
1	1	96
2	2	92
3	3	90
4	4	87
5	5	85
6	6	83
7	7	82
8	8	81
9	8	79
10	9	78
11	10	77
12	11	74
13	11	73
14	12	72
15	13	71
16	14	70
17	15	70
18	16	70
19	17	70
20	18	69
21	19	68
22	20	67
23	21	66
24	21	65
25	22	64
26	23	63
27	24	62
28	25	62
29	26	61
30	27	60
31	27	59
32	28	58
33	29	57
34	30	56
35	31	56
36	32	55
37	33	54
38	34	53
39	34	52
40	35	51
41	36	50
42	37	49
43	38	48
44	39	48
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	44	42
51	45	41
52	46	40
53	46	40
54	47	39
55	48	38
56	49	37
57	50	36
58	51	35
59	52	34
60	53	33
61	53	33
62	54	32
63	55	31
64	56	30
65	57	29
66	58	28
67	59	27
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	69	18
79	70	17
80	71	16
81	72	15
82	73	14
83	73	14
84	74	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	80	7
91	80	7
92	81	6
93	82	5
94	83	4
95	84	3
96	85	2
97	86	1
98	87	0
99	87	0
