iter	RMSE
0	19.84756858
1	18.91445237
2	18.05523597
3	17.25883361
4	16.54484701
5	15.90085694
6	15.29840835
7	14.74364451
8	14.23791972
9	13.78057341
10	13.37892304
11	13.004013
12	12.6615712
13	12.35028035
14	12.07733551
15	11.81641434
16	11.59708227
17	11.39230213
18	11.22252526
19	11.05632059
20	10.91159723
21	10.78771008
22	10.67860688
23	10.58423074
24	10.49070976
25	10.41105756
26	10.33849864
27	10.27467261
28	10.2146328
29	10.16758835
30	10.12148733
31	10.08247875
32	10.05008815
33	10.0189874
34	9.992171002
35	9.965725716
36	9.944590241
37	9.925078559
38	9.904122557
39	9.887384856
40	9.871686401
41	9.85779833
42	9.845291057
43	9.834577327
44	9.825075123
45	9.814253434
46	9.804633299
47	9.797289822
48	9.789038981
49	9.782083745
50	9.774407002
51	9.768064166
52	9.762868353
53	9.758601636
54	9.753158025
55	9.74757954
56	9.743507588
57	9.738872728
58	9.734488169
59	9.730735318
60	9.725723087
61	9.722288946
62	9.718749171
63	9.71532852
64	9.710652966
65	9.70408261
66	9.699721169
67	9.694980543
68	9.692158592
69	9.686217861
70	9.683757847
71	9.680550115
72	9.677858602
73	9.673999425
74	9.670933061
75	9.666867006
76	9.663111615
77	9.659462443
78	9.655489724
79	9.65223999
80	9.649974628
81	9.64724744
82	9.642041217
83	9.639231507
84	9.637361401
85	9.633356637
86	9.63037072
87	9.626811369
88	9.622716743
89	9.617847057
90	9.616078073
91	9.611791116
92	9.608571207
93	9.605594918
94	9.602844889
95	9.600037495
96	9.596011302
97	9.594041159
98	9.591085007
99	9.588210044
100	9.585578256
101	9.582790198
102	9.580028145
103	9.577406441
104	9.574967761
105	9.5733382
106	9.570613339
107	9.568729711
108	9.565098984
109	9.560188836
110	9.555937534
111	9.553802107
112	9.550288268
113	9.54682822
114	9.543911246
115	9.540977012
116	9.538084
117	9.535722863
118	9.532940868
119	9.529274829
120	9.525033061
121	9.522938466
122	9.519956365
123	9.515669666
124	9.512803314
125	9.509908414
126	9.507516332
127	9.503457003
128	9.501623248
129	9.497469728
130	9.494849386
131	9.490370612
132	9.48729724
133	9.482728114
134	9.477439565
135	9.476131234
136	9.471422225
137	9.46886138
138	9.466204973
139	9.46287892
140	9.459547214
141	9.456985952
142	9.454511585
143	9.451524458
144	9.448338737
145	9.444420114
146	9.441573392
147	9.439390802
148	9.436165293
149	9.433601114
150	9.430231607
151	9.426854174
152	9.422905524
153	9.419609542
154	9.415736411
155	9.412615918
156	9.409332714
157	9.405843238
158	9.404285395
159	9.400691094
160	9.397359973
161	9.394361137
162	9.391761586
163	9.388183054
164	9.385361638
165	9.383098288
166	9.379448391
167	9.376326692
168	9.373281307
169	9.37025284
170	9.367702582
171	9.364842717
172	9.361334846
173	9.357183467
174	9.354869226
175	9.351244234
176	9.349303941
177	9.346039494
178	9.342556003
179	9.340246708
180	9.336793626
181	9.334554141
182	9.331796795
183	9.328661532
184	9.326388207
185	9.321664578
186	9.317548565
187	9.31527651
188	9.311716344
189	9.308411893
190	9.303791541
191	9.299179074
192	9.296849505
193	9.293497365
194	9.290475626
195	9.288248145
196	9.284265451
197	9.281705063
198	9.277278215
199	9.273889081
200	9.271022148
201	9.267017355
202	9.26430509
203	9.261589096
204	9.258566893
205	9.25600987
206	9.25312326
207	9.249584852
208	9.246108009
209	9.243686258
210	9.239764386
211	9.235952719
212	9.23391339
213	9.228735731
214	9.225734982
215	9.222665135
216	9.218574136
217	9.214440558
218	9.21093417
219	9.208648922
220	9.206704648
221	9.203586239
222	9.200555731
223	9.19857026
224	9.196746801
225	9.192892245
226	9.190842239
227	9.188186178
228	9.18501388
229	9.18330486
230	9.180920124
231	9.178492505
232	9.174176094
233	9.171920776
234	9.16815917
235	9.164613045
236	9.161180672
237	9.158446882
238	9.156370515
239	9.15351945
240	9.151211472
241	9.14869016
242	9.146142538
243	9.142690974
244	9.139950572
245	9.136690105
246	9.13360521
247	9.131058637
248	9.128751045
249	9.125004368
250	9.121807544
251	9.119425575
252	9.115815254
253	9.111838215
254	9.109450104
255	9.106250367
256	9.103709621
257	9.101454838
258	9.097793078
259	9.093315868
260	9.090197387
261	9.087175256
262	9.082723751
263	9.079257018
264	9.076936394
265	9.073936214
266	9.069510888
267	9.06657013
268	9.063600298
269	9.061904019
270	9.05848251
271	9.05471852
272	9.052523455
273	9.049227288
274	9.046796516
275	9.043173944
276	9.040271831
277	9.037511229
278	9.034525611
279	9.032525589
280	9.029341524
281	9.027066242
282	9.022806101
283	9.019687871
284	9.016975346
285	9.014070342
286	9.012296603
287	9.009596836
288	9.00680137
289	9.004186031
290	9.000263777
291	8.998185392
292	8.996177276
293	8.994495864
294	8.991337946
295	8.987906844
296	8.983794446
