iter	Passed	Remaining
0	141	141363
1	156	78113
2	170	56515
3	185	46103
4	201	40018
5	209	34724
6	217	30880
7	224	27798
8	229	25268
9	234	23187
10	239	21534
11	244	20115
12	248	18847
13	251	17744
14	255	16768
15	259	15948
16	262	15184
17	265	14490
18	268	13872
19	271	13326
20	274	12818
21	278	12393
22	281	11965
23	285	11601
24	288	11244
25	292	10949
26	295	10637
27	299	10391
28	302	10132
29	305	9889
30	308	9654
31	312	9440
32	315	9231
33	320	9092
34	324	8943
35	327	8767
36	331	8619
37	334	8463
38	338	8334
39	341	8193
40	344	8063
41	347	7936
42	351	7830
43	355	7715
44	358	7609
45	361	7496
46	364	7398
47	367	7296
48	372	7221
49	375	7128
50	378	7040
51	381	6954
52	385	6887
53	388	6803
54	392	6742
55	395	6666
56	399	6601
57	401	6528
58	405	6465
59	408	6401
60	412	6351
61	415	6286
62	419	6232
63	422	6173
64	426	6128
65	429	6075
66	433	6037
67	437	5995
68	441	5956
69	445	5916
70	448	5872
71	453	5843
72	456	5797
73	459	5755
74	462	5708
75	466	5666
76	469	5623
77	473	5591
78	476	5552
79	479	5514
80	482	5472
81	486	5448
82	489	5411
83	493	5378
84	496	5340
85	499	5309
86	502	5272
87	506	5249
88	509	5215
89	512	5186
90	515	5152
91	519	5125
92	522	5094
93	526	5071
94	529	5041
95	533	5021
96	536	4992
97	539	4968
98	542	4940
99	547	4924
100	550	4896
101	553	4872
102	556	4846
103	559	4823
104	562	4798
105	566	4779
106	569	4755
107	573	4734
108	576	4709
109	580	4695
110	583	4672
111	587	4657
112	590	4636
113	593	4616
114	596	4593
115	600	4576
116	603	4555
117	607	4541
118	610	4520
119	613	4502
120	617	4482
121	620	4464
122	623	4444
123	627	4431
124	630	4412
125	633	4396
126	636	4375
127	640	4361
128	643	4342
129	647	4335
130	650	4317
131	654	4303
132	657	4285
133	661	4276
134	664	4260
135	668	4244
136	671	4227
137	674	4211
138	677	4195
139	681	4184
140	684	4168
141	687	4154
142	690	4138
143	694	4125
144	697	4110
145	702	4108
146	706	4096
147	709	4082
148	712	4069
149	715	4054
150	718	4040
151	722	4032
152	727	4026
153	731	4016
154	735	4008
155	739	4000
156	743	3991
157	747	3982
158	750	3971
159	755	3964
160	758	3954
161	762	3945
162	766	3937
163	770	3928
164	775	3922
165	778	3909
166	782	3903
167	786	3893
168	789	3883
169	793	3874
170	796	3863
171	801	3856
172	804	3847
173	808	3839
174	812	3828
175	816	3822
176	819	3812
177	823	3804
178	827	3796
179	830	3784
180	836	3785
181	840	3778
182	843	3767
183	847	3759
184	850	3748
185	855	3743
186	858	3733
187	862	3724
188	865	3714
189	870	3709
190	874	3705
191	878	3696
192	882	3688
193	885	3678
194	889	3670
195	892	3660
196	896	3653
197	899	3643
198	902	3633
199	906	3624
200	909	3614
201	912	3603
202	915	3595
203	918	3585
204	922	3578
205	925	3567
206	928	3558
207	932	3548
208	935	3541
209	938	3531
210	942	3523
211	945	3512
212	948	3503
213	951	3494
214	955	3487
215	958	3477
216	961	3470
217	964	3460
218	968	3454
219	971	3445
220	974	3436
221	977	3426
222	981	3419
223	984	3410
224	987	3402
225	991	3394
226	994	3387
227	997	3378
228	1000	3370
229	1004	3362
230	1007	3354
231	1011	3348
232	1015	3343
233	1018	3335
234	1022	3328
235	1025	3319
236	1029	3314
237	1032	3305
238	1035	3297
239	1038	3288
240	1042	3281
241	1044	3273
242	1048	3266
243	1051	3258
244	1055	3251
245	1057	3242
246	1061	3236
247	1064	3228
248	1068	3222
249	1071	3214
250	1075	3208
251	1078	3199
252	1082	3195
253	1085	3188
254	1089	3183
255	1092	3175
256	1096	3169
257	1099	3161
258	1102	3155
259	1105	3147
260	1109	3142
261	1112	3134
262	1116	3129
263	1119	3121
264	1123	3116
265	1127	3111
266	1131	3107
267	1135	3100
268	1138	3093
269	1141	3087
270	1145	3080
271	1148	3074
272	1151	3067
273	1155	3060
274	1158	3053
275	1161	3048
276	1165	3041
277	1168	3035
278	1171	3027
279	1174	3021
280	1177	3013
281	1181	3007
282	1184	3002
283	1188	2996
284	1191	2989
285	1195	2984
286	1198	2977
287	1201	2971
288	1205	2965
289	1208	2959
290	1212	2953
291	1215	2947
292	1218	2940
293	1223	2937
294	1226	2930
295	1229	2925
296	1233	2918
297	1236	2913
298	1239	2906
299	1244	2902
300	1247	2896
301	1250	2891
302	1253	2884
303	1257	2879
304	1260	2873
