student_id,age,gender,school_type,parent_education,study_hours,attendance_percentage,internet_access,travel_time,extra_activities,study_method,math_score,science_score,english_score,overall_score,final_grade,race_ethnicity,lunch,test_preparation_course,reading_score,writing_score
1,14,male,public,post graduate,3.1,84.3,yes,<15 min,yes,notes,42.7,55.4,57.0,53.1,e,group B,standard,none,67,63
2,18,female,public,graduate,3.7,87.8,yes,>60 min,no,textbook,57.6,68.8,64.8,61.3,d,group E,standard,completed,58,93
3,17,female,private,post graduate,7.9,65.5,no,<15 min,no,notes,84.8,95.0,79.2,89.6,b,group D,free/reduced,completed,68,74
4,16,other,public,high school,1.1,58.1,no,15-30 min,no,notes,44.4,27.5,54.7,41.6,e,group E,standard,none,81,61
5,16,female,public,high school,1.3,61.0,yes,30-60 min,yes,group study,8.9,32.7,30.0,25.4,f,group C,standard,completed,73,98
6,19,male,public,no formal,3.8,69.6,yes,>60 min,yes,coaching,51.5,78.3,63.9,63.5,d,group C,free/reduced,completed,81,44
7,14,female,private,post graduate,1.8,81.6,yes,30-60 min,no,textbook,41.9,29.4,39.2,39.1,f,group D,free/reduced,completed,94,94
8,18,female,private,post graduate,5.6,59.4,yes,>60 min,yes,group study,56.7,60.1,53.4,69.6,d,group D,free/reduced,completed,64,82
9,15,other,private,high school,3.2,89.6,yes,15-30 min,yes,mixed,54.1,59.5,38.3,55.2,d,group E,standard,none,63,66
10,14,female,public,diploma,6.8,62.4,yes,>60 min,no,mixed,71.9,70.4,81.3,69.6,d,group E,free/reduced,none,50,58
11,17,female,private,graduate,6.1,90.5,yes,15-30 min,no,notes,75.4,82.7,70.8,77.5,c,group D,free/reduced,completed,52,64
12,19,other,public,post graduate,4.0,96.2,yes,<15 min,yes,notes,62.0,54.7,58.0,65.0,d,group B,standard,none,79,66
13,18,female,private,high school,6.8,58.2,yes,>60 min,no,mixed,75.1,80.5,56.2,73.6,c,group D,standard,completed,74,42
14,18,other,public,diploma,1.3,95.9,yes,30-60 min,yes,textbook,33.6,26.8,50.0,42.5,e,group C,standard,none,91,74
15,18,other,public,high school,4.9,85.3,yes,<15 min,no,coaching,88.1,66.1,70.3,69.3,d,group A,standard,completed,66,89
16,18,other,private,post graduate,5.0,94.4,yes,15-30 min,yes,coaching,66.4,76.9,76.1,73.7,c,group E,free/reduced,completed,90,78
17,17,other,private,phd,2.3,67.3,yes,<15 min,yes,mixed,63.1,46.3,57.1,53.5,e,group C,free/reduced,none,72,69
18,14,female,public,post graduate,0.9,93.2,yes,15-30 min,yes,online videos,57.2,50.5,54.1,49.8,e,group E,free/reduced,completed,92,58
19,19,male,public,post graduate,4.5,73.8,yes,30-60 min,yes,online videos,38.7,69.9,58.3,59.2,d,group C,standard,none,78,79
20,16,female,public,post graduate,4.4,59.5,yes,<15 min,no,mixed,49.9,53.9,60.4,61.9,d,group E,free/reduced,completed,79,58
21,17,male,private,phd,5.4,99.8,yes,>60 min,no,textbook,84.9,77.6,77.6,81.3,c,group D,standard,completed,80,94
22,16,female,public,diploma,2.1,97.4,yes,>60 min,yes,group study,76.7,31.9,39.3,55.0,d,group E,free/reduced,completed,41,46
23,15,other,public,high school,1.8,56.2,no,30-60 min,yes,online videos,41.3,35.2,19.9,33.5,f,group D,standard,completed,90,93
24,19,female,public,phd,7.8,72.8,yes,15-30 min,yes,notes,100.0,100.0,100.0,94.6,b,group E,free/reduced,none,53,82
25,18,male,public,no formal,1.4,99.3,yes,<15 min,no,mixed,38.9,31.2,57.3,41.4,e,group A,free/reduced,none,41,64
26,17,male,private,diploma,8.0,77.4,yes,>60 min,no,coaching,100.0,87.7,69.3,92.5,b,group B,free/reduced,completed,48,63
27,16,other,public,post graduate,5.9,74.9,yes,15-30 min,no,textbook,94.6,92.8,86.9,82.5,c,group E,free/reduced,completed,49,88
28,18,other,private,post graduate,5.2,59.8,yes,<15 min,yes,textbook,42.9,89.9,63.4,75.4,c,group A,standard,none,73,96
29,17,female,private,post graduate,3.0,71.0,yes,15-30 min,no,mixed,40.5,44.5,68.1,45.1,e,group C,free/reduced,completed,62,53
30,16,other,public,diploma,7.0,74.9,yes,>60 min,yes,textbook,76.1,73.5,71.7,82.6,c,group C,free/reduced,completed,75,61
31,16,other,private,phd,7.3,85.7,yes,30-60 min,yes,group study,79.6,86.0,95.4,90.4,b,group C,standard,none,75,67
32,15,female,private,high school,5.9,72.5,yes,>60 min,yes,textbook,79.3,82.5,77.4,77.1,c,group E,standard,completed,78,64
33,14,male,private,no formal,5.8,81.7,yes,30-60 min,yes,notes,94.5,72.1,84.8,78.8,c,group D,standard,completed,66,72
34,17,other,public,graduate,4.2,55.1,no,15-30 min,no,coaching,60.5,57.4,72.9,62.2,d,group D,standard,none,49,50
35,19,female,public,high school,1.1,88.2,yes,30-60 min,no,coaching,39.8,39.6,36.5,46.9,e,group B,standard,completed,70,76
36,14,other,private,diploma,8.0,50.2,yes,30-60 min,no,online videos,93.1,99.8,100.0,90.4,b,group A,standard,completed,79,88
37,19,other,public,diploma,0.6,82.1,yes,>60 min,no,coaching,45.9,43.5,35.0,42.0,e,group A,standard,completed,80,56
38,18,female,public,high school,4.2,91.3,yes,15-30 min,no,notes,82.4,73.5,61.7,79.0,c,group A,standard,none,85,80
39,15,female,private,phd,3.3,88.3,yes,15-30 min,yes,notes,53.5,67.4,61.7,66.5,d,group B,standard,none,41,57
40,17,male,public,diploma,6.3,57.4,yes,<15 min,yes,notes,78.1,70.0,63.8,65.4,d,group E,free/reduced,completed,90,68
41,14,other,private,post graduate,6.0,92.2,yes,15-30 min,yes,textbook,72.8,72.5,100.0,88.7,b,group C,free/reduced,completed,57,73
42,18,male,private,no formal,5.2,54.0,yes,30-60 min,yes,notes,42.8,58.2,60.1,53.9,e,group B,free/reduced,completed,73,60
43,18,female,public,phd,1.1,53.3,yes,15-30 min,no,group study,31.4,36.4,29.0,23.7,f,group B,free/reduced,completed,54,65
44,16,female,private,phd,2.3,91.1,yes,30-60 min,no,mixed,76.4,56.2,56.4,63.6,d,group C,free/reduced,completed,73,79
45,14,male,private,no formal,1.2,59.1,yes,<15 min,no,group study,37.5,35.0,54.0,42.3,e,group C,free/reduced,completed,82,49
46,19,female,private,graduate,7.8,72.4,yes,30-60 min,no,mixed,77.3,94.5,88.0,83.5,c,group B,free/reduced,none,63,74
47,16,other,public,graduate,1.5,96.8,yes,>60 min,no,coaching,42.4,29.9,53.9,48.7,e,group B,standard,completed,87,69
48,19,male,private,high school,7.8,60.4,yes,>60 min,yes,online videos,85.1,100.0,100.0,96.3,a,group D,free/reduced,completed,82,64
49,18,male,private,post graduate,1.3,89.0,yes,15-30 min,yes,coaching,31.5,26.9,32.6,37.5,f,group C,free/reduced,none,87,93
50,18,male,private,post graduate,7.0,79.2,no,30-60 min,no,coaching,86.6,91.1,100.0,95.9,a,group C,standard,completed,55,60
51,18,male,public,phd,4.8,70.3,yes,>60 min,yes,textbook,66.9,66.7,82.8,76.2,c,group D,free/reduced,none,63,88
52,15,male,private,graduate,6.7,73.0,yes,15-30 min,no,notes,87.1,78.6,99.8,90.4,b,group C,free/reduced,completed,72,99
53,16,female,public,post graduate,5.3,70.5,yes,15-30 min,yes,notes,77.9,80.5,79.9,77.0,c,group E,standard,none,93,94
54,16,other,public,post graduate,6.3,91.4,no,>60 min,yes,coaching,95.8,93.3,85.2,88.4,b,group E,free/reduced,completed,49,49
55,16,other,private,post graduate,6.0,90.7,yes,>60 min,yes,online videos,91.9,85.6,100.0,92.5,b,group A,free/reduced,completed,89,78
56,14,other,public,graduate,2.5,68.7,yes,>60 min,no,online videos,39.3,25.2,39.2,39.5,f,group D,free/reduced,completed,72,66
57,17,other,public,post graduate,7.5,84.9,no,>60 min,yes,textbook,83.4,81.5,79.5,86.2,b,group C,standard,none,44,89
58,14,female,private,no formal,5.3,76.6,yes,15-30 min,no,online videos,67.8,81.5,67.3,76.9,c,group B,free/reduced,none,45,46
59,18,other,public,graduate,2.0,87.4,yes,15-30 min,no,online videos,39.8,40.9,59.9,41.1,e,group A,standard,none,51,94
60,18,male,private,high school,2.8,52.5,yes,>60 min,yes,notes,51.3,48.7,53.4,46.2,e,group A,standard,completed,52,67
61,19,other,public,diploma,4.5,66.8,yes,15-30 min,no,mixed,69.7,61.7,53.0,65.1,d,group C,standard,completed,71,68
62,18,male,private,post graduate,7.1,66.8,yes,>60 min,no,online videos,78.9,63.1,83.9,85.8,b,group D,standard,none,82,46
63,16,other,private,no formal,6.5,79.8,yes,30-60 min,yes,coaching,76.1,61.2,76.7,77.4,c,group A,free/reduced,none,76,46
64,19,male,public,post graduate,2.8,60.4,yes,30-60 min,yes,group study,62.7,65.5,47.6,54.9,e,group C,free/reduced,completed,72,96
65,16,male,private,high school,5.7,76.6,yes,30-60 min,no,group study,84.1,83.3,88.2,80.9,c,group E,free/reduced,completed,55,93
66,15,female,public,post graduate,0.5,99.0,yes,>60 min,no,notes,32.1,28.5,38.0,39.2,f,group E,standard,completed,65,68
67,19,other,private,post graduate,3.0,52.2,yes,<15 min,yes,notes,33.8,45.9,47.3,46.9,e,group D,free/reduced,completed,68,50
68,16,male,public,no formal,6.8,75.2,no,<15 min,yes,online videos,57.3,100.0,71.8,82.4,c,group D,free/reduced,completed,81,43
69,14,male,private,high school,1.6,56.9,yes,15-30 min,yes,group study,54.0,34.8,35.3,40.8,e,group B,free/reduced,none,52,53
70,16,female,private,post graduate,3.2,79.1,yes,15-30 min,no,notes,80.1,57.2,47.2,57.1,d,group B,standard,completed,96,87
71,18,other,public,diploma,0.5,62.0,no,15-30 min,no,group study,32.0,30.9,51.4,24.6,f,group C,free/reduced,none,66,50
72,15,other,public,diploma,0.7,95.1,yes,<15 min,yes,group study,41.4,43.6,23.8,50.0,e,group A,free/reduced,completed,84,64
73,16,female,private,no formal,1.6,65.9,yes,30-60 min,yes,coaching,33.9,62.8,30.7,37.1,f,group C,free/reduced,none,89,85
74,14,female,private,post graduate,1.3,97.9,yes,<15 min,yes,group study,53.1,58.0,59.5,59.5,d,group E,standard,completed,78,49
75,18,female,private,no formal,4.2,50.2,no,30-60 min,yes,group study,48.3,63.2,46.5,51.5,e,group B,standard,none,81,97
76,16,other,public,high school,7.3,91.6,yes,>60 min,yes,online videos,99.6,100.0,99.1,96.4,a,group E,standard,completed,42,98
77,15,male,private,diploma,1.1,63.1,no,>60 min,yes,group study,36.6,40.0,23.7,32.0,f,group B,standard,none,57,40
78,15,male,public,post graduate,7.0,60.1,yes,<15 min,yes,group study,71.2,87.5,84.0,80.7,c,group E,standard,completed,72,99
79,17,male,private,diploma,5.5,94.2,yes,<15 min,yes,group study,94.7,75.8,100.0,91.5,b,group B,standard,none,53,85
80,18,male,private,phd,1.8,65.2,no,15-30 min,no,mixed,5.9,19.0,12.8,32.7,f,group D,standard,none,94,95
81,19,female,private,graduate,2.7,79.2,yes,30-60 min,yes,textbook,74.0,75.2,54.3,59.6,d,group C,standard,none,62,86
82,16,other,public,high school,2.0,86.8,yes,15-30 min,no,mixed,44.8,48.9,54.0,58.5,d,group E,standard,none,67,82
83,14,female,public,high school,6.4,71.0,yes,<15 min,no,mixed,83.6,100.0,98.5,83.0,c,group D,free/reduced,none,78,70
84,18,female,private,post graduate,5.9,55.1,no,<15 min,no,group study,74.1,55.2,72.0,69.1,d,group C,standard,completed,50,73
85,17,male,public,diploma,2.8,96.1,yes,<15 min,yes,notes,63.8,57.9,53.0,61.7,d,group D,free/reduced,none,83,71
86,18,female,public,graduate,0.9,82.4,yes,>60 min,no,online videos,49.0,45.7,45.0,43.9,e,group B,standard,completed,70,57
87,14,male,public,diploma,1.8,94.6,yes,>60 min,yes,online videos,74.3,57.7,46.7,61.3,d,group A,standard,none,77,92
88,15,other,private,high school,5.2,88.4,no,>60 min,yes,textbook,67.7,81.7,89.5,73.9,c,group E,free/reduced,none,48,86
89,18,female,public,graduate,1.2,88.7,no,30-60 min,yes,notes,55.6,73.1,57.4,53.4,e,group A,standard,completed,70,82
90,18,female,private,high school,4.5,79.5,yes,<15 min,no,group study,57.0,56.1,62.6,63.4,d,group B,standard,completed,77,58
91,16,other,public,phd,5.1,50.3,yes,30-60 min,no,group study,71.3,50.2,63.1,59.9,d,group B,free/reduced,completed,50,67
92,18,male,private,post graduate,5.7,94.1,yes,30-60 min,yes,textbook,80.5,86.2,79.4,82.0,c,group A,free/reduced,none,71,43
93,19,female,public,post graduate,1.4,91.5,yes,30-60 min,yes,group study,40.0,46.1,31.2,41.3,e,group A,free/reduced,completed,40,56
94,16,female,public,high school,3.9,86.4,no,30-60 min,no,online videos,57.3,49.7,54.7,59.5,d,group A,standard,completed,96,52
95,19,male,private,no formal,4.0,93.9,yes,<15 min,no,group study,80.2,93.9,87.6,76.8,c,group A,free/reduced,none,70,97
96,15,male,public,no formal,6.8,59.2,yes,30-60 min,no,notes,86.9,79.9,88.2,87.9,b,group A,standard,none,96,42
97,15,male,public,phd,4.0,64.1,yes,>60 min,yes,group study,65.6,73.9,70.1,66.6,d,group B,free/reduced,completed,96,77
98,18,male,private,phd,3.6,57.9,yes,15-30 min,no,group study,42.3,46.6,57.5,46.2,e,group C,standard,none,93,58
99,17,other,private,post graduate,1.4,82.3,yes,15-30 min,no,coaching,37.2,50.4,48.3,39.9,f,group E,free/reduced,completed,68,66
100,14,male,private,graduate,5.7,71.9,no,<15 min,no,group study,67.8,57.0,61.6,66.9,d,group E,standard,none,56,61
101,18,male,public,high school,5.1,55.1,yes,30-60 min,yes,textbook,76.8,73.0,74.8,66.8,d,group B,standard,none,91,65
102,15,other,private,post graduate,5.9,78.8,yes,<15 min,yes,coaching,72.3,48.8,70.5,68.8,d,group B,standard,completed,96,67
103,18,female,public,graduate,5.4,66.9,yes,30-60 min,yes,mixed,68.7,72.3,64.8,73.5,c,group E,standard,completed,58,82
104,14,other,private,graduate,7.1,74.5,yes,30-60 min,no,online videos,77.9,75.6,89.0,81.9,c,group A,free/reduced,completed,53,71
